Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-1-2,58.599998474121094,59.5,58.5255012512207,59.45050048828125,59.45050048828125,53890000,,
2018-1-3,59.415000915527344,60.27450180053711,59.415000915527344,60.209999084472656,60.209999084472656,62176000,,
2018-1-4,60.25,60.79349899291992,60.233001708984375,60.47949981689453,60.47949981689453,60442000,,
2018-1-5,60.8754997253418,61.457000732421875,60.5,61.457000732421875,61.457000732421875,70894000,,
2018-1-8,61.79999923706055,62.65399932861328,61.60150146484375,62.34349822998047,62.34349822998047,85590000,,
2018-1-9,62.845001220703125,62.96649932861328,62.0880012512207,62.6349983215332,62.6349983215332,73226000,,
2018-1-10,62.25749969482422,62.71649932861328,61.86149978637695,62.71649932861328,62.71649932861328,53720000,,
2018-1-11,62.98699951171875,63.8385009765625,62.823001861572266,63.83399963378906,63.83399963378906,62500000,,
2018-1-12,63.669498443603516,65.28800201416016,63.669498443603516,65.26000213623047,65.26000213623047,108874000,,
2018-1-16,66.1500015258789,66.99700164794922,64.61499786376953,65.24299621582031,65.24299621582031,144414000,,
2018-1-17,65.61199951171875,65.69999694824219,64.04399871826172,64.75,64.75,105076000,,
2018-1-18,64.69750213623047,65.2300033569336,64.20099639892578,64.66600036621094,64.66600036621094,80538000,,
2018-1-19,65.5999984741211,65.6500015258789,64.64949798583984,64.72899627685547,64.72899627685547,91570000,,
2018-1-22,64.8584976196289,66.37249755859375,64.83300018310547,66.3655014038086,66.3655014038086,82802000,,
2018-1-23,66.90450286865234,68.24500274658203,66.86699676513672,68.12699890136719,68.12699890136719,103386000,,
2018-1-24,68.74099731445312,69.40799713134766,66.9000015258789,67.87550354003906,67.87550354003906,136150000,,
2018-1-25,68.4000015258789,68.91699981689453,67.88099670410156,68.89749908447266,68.89749908447266,95060000,,
2018-1-26,69.60050201416016,70.12650299072266,69.04550170898438,70.10250091552734,70.10250091552734,97146000,,
2018-1-29,70.45899963378906,71.56950378417969,70.02200317382812,70.88400268554688,70.88400268554688,114038000,,
2018-1-30,70.15850067138672,71.9625015258789,69.5999984741211,71.89099884033203,71.89099884033203,117438000,,
2018-1-31,72.56500244140625,73.62899780273438,72.50199890136719,72.54450225830078,72.54450225830078,128494000,,
2018-2-1,72.25,72.99400329589844,69.25700378417969,69.5,69.5,182276000,,
2018-2-2,73.86949920654297,74.9000015258789,70.69999694824219,71.49749755859375,71.49749755859375,222514000,,
2018-2-5,70.13099670410156,72.9489974975586,66.03600311279297,69.5,69.5,229900000,,
2018-2-6,68.072998046875,72.19950103759766,67.5895004272461,72.14199829101562,72.14199829101562,221336000,,
2018-2-7,72.44999694824219,73.04949951171875,70.75749969482422,70.83899688720703,70.83899688720703,143254000,,
2018-2-8,71.48400115966797,71.6875,67.49700164794922,67.5250015258789,67.5250015258789,171572000,,
2018-2-9,68.67449951171875,69.17500305175781,63.29650115966797,66.9800033569336,66.9800033569336,282830000,,
2018-2-12,68.2334976196289,69.69049835205078,67.20050048828125,69.3115005493164,69.3115005493164,134778000,,
2018-2-13,69.29650115966797,70.98600006103516,69.17649841308594,70.72550201416016,70.72550201416016,118358000,,
2018-2-14,70.3125,72.60299682617188,70.16799926757812,72.55249786376953,72.55249786376953,119184000,,
2018-2-15,73.34449768066406,73.4469985961914,71.84200286865234,73.08799743652344,73.08799743652344,113054000,,
